f,c,h,size_H,theta,z_lp,lam,gap_bound,gap_bound_rel,z_heur,gap_heur_rel,persistency,w_H_over_c,dual_feasible,dual_value,dual_seconds,k0,dim_primal,dim_dual,n_tight,faces_seconds,instance
0.1,368.1,1,83,0.40229508196721314,711.6600000000001,1.9333333333333333,711.6600000000001,1.0,17.0,0.9761121884045753,0.9279513888888888,2.4857375713121432,True,711.6600000000001,0.00238908299979812,1,0,4425,0,0.02100193000001127,grid_S
0.2,736.2,1,83,0.8045901639344263,1423.3200000000002,1.9333333333333333,1423.3200000000002,1.0,847.0,0.40491245819632976,0.9279513888888888,1.2428687856560716,True,1423.3200000000002,0.002288103999944724,1,0,4425,0,0.020766373000014937,grid_S
0.3,1104.3,2,20,0.848878923766816,2100.0627802690583,1.748878923766816,331.06278026905824,0.1576442301532732,1868.0,0.11050278232126308,0.9826388888888888,0.2019378791994929,True,2100.0627802690688,0.002340917000083209,1,0,4418,0,0.0033890170000177022,grid_S
0.4,1472.4,3,45,0.674193548387097,2686.893548387097,1.5786290322580645,527.893548387097,0.1964698410564065,2194.0,0.18344364579794153,0.9609375,0.33686498234175494,True,2686.8935483871282,0.0022267060001013306,1,0,4272,0,0.008697480999899199,grid_S
0.5,1840.5,5,30,0.28851963746223563,3219.735649546828,1.2537764350453173,119.73564954682779,0.03718803733582301,3112.0,0.033461023286800444,0.9739583333333334,0.17984243412116271,True,3219.7356495469976,0.0023776709999765444,1,0,4232,0,0.005224728000030154,grid_S
0.6,2208.6,9,11,0.07999999999999924,3640.96,0.725,6.959999999999933,0.0019115837581297056,3634.0,0.001911583758129734,0.9904513888888888,0.054333061668025,True,3640.9600000001137,0.0024197190000450064,1,0,4270,0,0.0023131160000957607,grid_S
0.7,2576.7,11,5,0.9557692307692273,3885.7173076923077,0.5576923076923077,27.71730769230759,0.007133125108570661,3858.0,0.007133125108570693,0.9956597222222222,0.020180851476695,True,3885.7173076924755,0.0024091969999062712,1,0,4257,0,0.001347127999906661,grid_S
0.8,2944.8,14,18,0.9737373737373747,4064.610101010101,0.4595959595959596,88.61010101010109,0.021800393840501576,3976.0,0.02180039384050157,0.984375,0.06723716381418092,True,4064.610101010238,0.002574681999931272,1,0,4176,0,0.0032497370000328374,grid_S
0.9,3312.9,20,4,0.4977272727272748,4181.981818181818,0.18181818181818182,3.9818181818181984,0.0009521366555221792,4178.0,0.0009521366555221792,0.9965277777777778,0.01328141507440611,True,4181.981818181986,0.002462336000007781,1,0,4187,0,0.0011497709999730432,grid_S
0.1,1080.8,1,240,0.40908402725208176,2665.591521574565,2.466313398940197,2665.591521574565,1.0,183.0,0.9313473206532777,0.9733333333333334,2.4444855662472245,True,2665.5915215745645,0.03130543799989027,1,0,68485,0,0.16208650899989152,grid_M
0.2,2161.6,1,240,0.8181680545041635,5331.18304314913,2.466313398940197,5331.18304314913,1.0,3627.0,0.31966320221158057,0.9733333333333334,1.2222427831236122,True,5331.183043149129,0.03193197600012354,1,0,68485,0,0.16233906399997977,grid_M
0.3,3242.4,3,30,0.504166666666667,7834.5375,2.169642857142857,367.53750000000025,0.04691246930658003,7546.0,0.03682891300220343,0.9966666666666667,0.10362694300518134,True,7834.537500000627,0.033260994999864124,1,0,68377,0,0.006853603999843472,grid_M
0.4,4323.2,7,35,0.026842105263157418,10126.567894736841,1.918421052631579,19.567894736841758,0.0019323323499378234,10107.0,0.0019323323499377961,0.9961111111111111,0.0878978534418949,True,10126.567894737525,0.031280296999966595,1,0,68033,0,0.007972289999997884,grid_M
0.5,5404.0,15,36,0.4278481012658228,11929.088607594937,1.1898734177215189,201.08860759493672,0.016856996725375054,11728.0,0.01685699672537504,0.996,0.0730940044411547,True,11929.08860759575,0.03137244100003045,1,0,67810,0,0.009024712999917028,grid_M
0.6,6484.8,23,30,0.3120743034055733,13005.96160990712,0.7337461300309598,73.96160990712087,0.005686746749335442,12932.0,0.005686746749335442,0.9966666666666667,0.04980878361707377,True,13005.961609908953,0.03284088899999915,1,0,67603,0,0.006740928999988682,grid_M
0.7,7565.599999999999,27,35,0.2930946291560088,13687.360102301789,0.5703324808184144,65.36010230178996,0.0047752160981574835,13622.0,0.004775216098157419,0.9961111111111111,0.05168129427936978,True,13687.360102303657,0.03143158900002163,1,0,67322,0,0.008127959000148621,grid_M
0.8,8646.4,33,40,0.16027713625865966,14154.522401847575,0.3533487297921478,24.52240184757493,0.0017324782250776648,14130.0,0.0017324782250776453,0.9955555555555555,0.050078645447816435,True,14154.52240184965,0.031470700999989276,1,0,67083,0,0.008922065999968254,grid_M
0.9,9727.2,39,57,0.5104851330203454,14424.94366197183,0.14084507042253522,45.943661971831084,0.0031850150023775394,14379.0,0.0031850150023775203,0.9936666666666667,0.0656920799407846,True,14424.943661973768,0.032342441999844596,1,0,66793,0,0.013341953999997713,grid_M
0.1,3964.7000000000003,1,1650,0.21827240695881966,7070.0615338031275,1.783252587535785,7070.0615338031275,1.0,0.0,1.0,0.8842592592592593,4.5814311297197765,True,7070.0615338031275,0.05464876099995308,1,0,106931,0,7.950989695999851,grid_L
0.2,7929.400000000001,1,1650,0.43654481391763933,14140.123067606255,1.783252587535785,14140.123067606255,1.0,0.0,1.0,0.8842592592592593,2.2907155648598883,True,14140.123067606255,0.056591207000110444,1,0,106931,0,7.776148461000048,grid_L
0.3,11894.1,1,1650,0.654817220876459,21210.184601409383,1.783252587535785,21210.184601409383,1.0,0.0,1.0,0.8842592592592593,1.5271437099065923,True,21210.18460140938,0.05602397799998471,1,0,106931,0,7.714319946999922,grid_L
0.4,15858.800000000001,1,1650,0.8730896278352787,28280.24613521251,1.783252587535785,28280.24613521251,1.0,0.0,1.0,0.8842592592592593,1.1453577824299441,True,28280.24613521251,0.052516330999878846,1,0,106931,0,7.7447731170000225,grid_L
0.5,19823.5,3,110,0.36307565789473684,34877.46875,1.3125,579.46875,0.01661441528780669,34298.0,0.01661441528780669,0.9922839506172839,0.06134133730168739,True,34877.46875,0.05696455700012848,1,0,107571,0,0.03402882699992915,grid_L
0.6,23788.2,6,131,0.06250856751199502,39797.576696367374,1.135709389993146,103.57669636737575,0.002602588020813588,39694.0,0.002602588020813547,0.99081088664422,0.061332929771903716,True,39797.57669641398,0.05565422199993009,1,0,106842,0,0.04259460699995543,grid_L
0.7,27752.899999999998,11,140,0.8119063109954443,43405.29707221861,0.7703318152244633,961.2970722186061,0.02214699903145878,42444.0,0.02214699903145881,0.9901795735129069,0.05538159976074573,True,43405.29707225235,0.05659034500013149,1,0,106425,0,0.048492605000092226,grid_L
0.8,31717.600000000002,23,120,0.12602739726027565,45956.180821917806,0.4117199391171994,68.18082191780913,0.0014836050493841682,45888.0,0.001483605049384091,0.9915824915824916,0.041428103009054904,True,45956.18082196598,0.055166323999856104,1,0,106013,0,0.03643963000013173,grid_L
0.9,35682.3,33,131,0.306884561891518,46793.32322670375,0.05285118219749652,23.32322670375537,0.0004984306541076228,46770.0,0.0004984306541075696,0.99081088664422,0.04030009276307861,True,46793.323226756555,0.05377781100014545,1,0,105537,0,0.04062407500009613,grid_L
0.1,4988.0,140,1,0.6829268292682927,15212.268292682927,1.9024390243902438,53.268292682926834,0.003501666658650031,15159.0,0.0035016666586500742,0.9995,0.00821972734562951,True,15212.268292683006,0.003860430000031556,1,0,3640,0,0.0008215969999127992,dag_S
0.2,9976.0,168,343,0.04390028678579307,24375.42157511582,1.64427531436135,654.4215751158173,0.026847600280435677,24252.0,0.005063361662709317,0.8285,0.9087810745789896,True,24375.421575116052,0.003900742000041646,1,0,3136,0,0.27989744299998165,dag_S
0.3,14964.0,168,343,0.5940878005735716,32577.06684315023,1.64427531436135,8856.06684315023,0.27184973054172734,30221.0,0.07232286609761572,0.8285,0.6058540497193264,True,32577.066843150467,0.004226296000069851,1,0,3136,0,0.26215060000004087,dag_S
0.4,19952.0,180,583,0.023202014016465947,40655.882901272365,1.5304483908280602,521.8829012723685,0.01283659003396125,40581.0,0.001841871235565318,0.7085,0.7366178829190057,True,40655.88290127394,0.004500495999991472,1,0,2821,0,0.7854921749999448,dag_S
0.5,24940.0,180,583,0.3625910049670001,48289.759474722734,1.5304483908280602,8155.759474722733,0.16889211218771683,43577.0,0.09759335159226931,0.7085,0.5892943063352045,True,48289.7594747243,0.004300673999978244,1,0,2821,0,0.7539830570001413,dag_S
0.6,29928.0,180,583,0.7019799959175342,55923.636048173095,1.5304483908280602,15789.636048173097,0.2823428010755912,43577.0,0.22077670410303074,0.7085,0.4910785886126704,True,55923.63604817466,0.0043443829999887384,1,0,2821,0,0.7451817090000077,dag_S
0.7,34916.0,181,399,0.058153993304638926,63554.846963175514,1.5260640841702535,927.846963175514,0.0145991534479364,63247.0,0.0048437999284914445,0.8005,0.29943292473364647,True,63554.84696318301,0.005411921999893821,1,0,3110,0,0.36127813300004163,dag_S
0.8,39904.0,181,399,0.535246293639407,71166.85461501674,1.5260640841702535,8539.854615016739,0.11999764021065454,68594.0,0.03615242838727127,0.8005,0.26200380914194066,True,71166.85461502423,0.004848595000112255,1,0,3110,0,0.37619332300005226,dag_S
0.9,44892.0,184,1,0.775,78773.725,1.475,45.725,0.0005804600455291406,78728.0,0.0005804600455292144,0.9995,0.0008910273545397843,True,78773.72500001005,0.0060165360000610235,1,0,3663,0,0.0006578939999144495,dag_S
0.1,50535.200000000004,444,14198,0.07853859622516648,102175.71374739773,1.563332552079743,44528.71374739774,0.4358052624666086,65696.0,0.35702920400031773,0.2901,7.176482926752046,True,102175.71374739983,0.15686383900015244,,,,,,dag_M
0.2,101070.40000000001,444,14198,0.21788261894585914,181179.03693325797,1.563332552079743,123532.03693325797,0.6818230134359541,65696.0,0.6373973440194363,0.2901,3.588241463376023,True,181179.03693326007,0.16201053200006754,,,,,,dag_M
0.3,151605.6,444,14198,0.35722664166655177,260182.36011911818,1.563332552079743,202535.36011911818,0.7784361707934092,65696.0,0.7475001765303279,0.2901,2.3921609755840154,True,260182.36011912028,0.16902898200009986,,,,,,dag_M
0.4,202140.80000000002,444,14198,0.49657066438724445,339185.6833049784,1.563332552079743,281538.6833049784,0.8300429445066915,65696.0,0.8063125797059969,0.2901,1.7941207316880114,True,339185.6833049805,0.164264022999987,,,,,,dag_M
0.5,252676.0,444,14198,0.6359146871079371,418189.00649083866,1.563332552079743,360542.00649083866,0.8621508478098577,65696.0,0.8429035699640296,0.2901,1.4352965853504092,True,418189.0064908407,0.15403321000007963,,,,,,dag_M
0.6,303211.2,444,14198,0.7752587098286298,497192.3296766989,1.563332552079743,439545.3296766989,0.8840549289296454,65696.0,0.8678660227065066,0.2901,1.1960804877920077,True,497192.329676701,0.1530829169998924,,,,,,dag_M
0.7,353746.39999999997,444,14198,0.9146027325493222,576195.6528625591,1.563332552079743,518548.652862559,0.8999523864617724,65696.0,0.8859831731224974,0.2901,1.0252118466788638,True,576195.652862561,0.14846843099985563,,,,,,dag_M
0.8,404281.60000000003,451,4004,0.1878098468676593,654705.8863993918,1.5379126823990408,29631.886399391817,0.04525984417576384,634961.0,0.030158406712944667,0.7998000000000001,0.2537612396903544,True,654705.8864023729,0.08742925900014598,,,,,,dag_M
0.9,454816.8,451,4004,0.6803988653975493,732424.6113869637,1.5379126823990408,107350.61138696375,0.14656882048744663,634961.0,0.13306982025412928,0.7998000000000001,0.22556554639142617,True,732424.6113899448,0.09365432200002033,,,,,,dag_M
0.1,11114.300000000001,1,1842,0.5480694314315302,18015.042211154396,1.620888603974555,18015.042211154396,1.0,0.0,1.0,0.9658888888888889,1.8245863437193524,True,18015.042211154396,0.2343676709999727,,,,,,grid_XL
0.2,22228.600000000002,2,243,0.7288224299065429,35986.444710280375,1.5985046728971963,3116.4447102803774,0.08660051681599132,32870.0,0.08660051681599125,0.9955,0.12034046228732352,True,35986.44471029703,0.24900272899981246,1,0,437641,0,0.13019744200005334,grid_XL
0.3,33342.9,15,145,0.5090509113764937,49864.28233815211,0.9918290383406663,803.2823381521071,0.01610937329258423,49070.0,0.015928883379203635,0.9973148148148148,0.04771630542034436,True,49864.28233819811,0.2582740149998699,1,0,436658,0,0.0571009600000707,grid_XL
0.4,44457.200000000004,33,2986,0.046114021196248155,58081.99898282373,0.5184248995005482,784.9989828237324,0.013515357538845654,57297.0,0.01351535753884562,0.9447037037037037,0.7385980223675804,True,58081.998982898964,0.23820936900006018,,,,,,grid_XL
0.5,55571.5,33,2986,0.38459312949202096,63843.92884334267,0.5184248995005482,6546.928843342673,0.10254583265712279,57297.0,0.10254583265712275,0.9447037037037037,0.5908784178940644,True,63843.9288434179,0.23599852200004534,,,,,,grid_XL
0.6,66685.8,33,2986,0.723072237787794,69605.85870386162,0.5184248995005482,12308.858703861617,0.1768365326290952,57297.0,0.17683653262909532,0.9447037037037037,0.49239868157838695,True,69605.85870393684,0.2289754119999543,,,,,,grid_XL
0.7,77800.09999999999,35,245,0.7359629629629597,75310.67899999999,0.49,973.6789999999957,0.012928830451787532,74342.0,0.012862438804993237,0.995462962962963,0.03470432557284631,True,75310.67900021865,0.2445076980000067,1,0,431063,0,0.1523267790000773,grid_XL
0.8,88914.40000000001,47,2,0.5636363636367605,79925.5090909091,0.36363636363636365,4.509090909094084,5.6416167508740436e-05,79925.0,6.369567299409159e-06,0.9999629629629629,0.00024742898788047827,True,79925.50909108564,0.24481503199990584,2,1,431330,2,0.005658837000055428,grid_XL
0.9,100028.7,64,219,0.2396444811905734,83436.69797436957,0.21165770979743695,122.69797436957359,0.0014705516559064269,83314.0,0.0014705516559063857,0.9959444444444444,0.024183059461934425,True,83436.69797476217,0.23308397200003128,1,0,428804,0,0.09118341199996394,grid_XL
