instance,f,c,newton_maxflow,newton_seconds,highs_seconds,highs_status,z_newton,z_highs,rel_diff,lam_newton,lam_highs,size_H,theta,dual_feasible,dual_value
grid_S,0.25,920.25,5,0.006094613000186655,0.02109611700007008,0,1778.1816143497758,1778.1816143497754,2.5573729208349218e-16,1.748878923766816,1.7488789237668163,20,0.023542600896860985,True,1778.1816143497863
grid_S,0.5,1840.5,7,0.005701945000055275,0.017378904999986844,0,3219.735649546828,3219.735649546827,2.824749609182786e-16,1.2537764350453173,1.2537764350453173,30,0.28851963746223563,True,3219.7356495469976
grid_S,0.75,2760.75,6,0.005314452999982677,0.016283166999983223,0,3980.0214646464647,3980.0214646464633,3.4277253647439186e-16,0.4595959595959596,0.45959595959595956,18,0.04419191919191919,True,3980.0214646466015
grid_M,0.25,2702.0,7,0.04474791400002687,0.30069150199983596,0,6648.389791183295,6648.389791183295,0.0,2.206496519721578,2.206496519721578,39,0.13921113689095127,True,6648.389791183479
grid_M,0.5,5404.0,7,0.04175295799996093,0.3304537500000606,0,11929.088607594937,11929.088607594938,1.5248351851353956e-16,1.1898734177215189,1.1898734177215189,36,0.4278481012658228,True,11929.08860759575
grid_M,0.75,8106.0,7,0.03816614099991966,0.45734347099983097,0,13955.776247848537,13955.776247848538,1.3033953620647056e-16,0.37005163511187605,0.37005163511187605,53,0.2082616179001721,True,13955.776247849859
grid_L,0.25,9911.75,4,0.09930243400003747,2.5662846759998956,0,17675.15383450782,17675.153834507757,3.499015640803982e-15,1.783252587535785,1.783252587535785,1650,0.5456810173970491,True,17675.153834507815
grid_L,0.5,19823.5,6,0.0932759919999171,1.9482404750001479,0,34877.46875,34877.46875,0.0,1.3125,1.3125,110,0.36307565789473684,True,34877.46875
grid_L,0.75,29735.25,8,0.08645977600008337,1.383340694000026,0,44789.75559440559,44789.75559440559,0.0,0.6447552447552447,0.6447552447552447,130,0.0875874125874126,True,44789.75559444718
dag_S,0.25,12470.0,7,0.023949240000092686,0.10281725899994854,0,28476.244209133023,28476.24420913302,1.2775486754411684e-16,1.64427531436135,1.6442753143613502,343,0.3189940436796823,True,28476.244209133263
dag_S,0.5,24940.0,7,0.02677262899987909,0.12088239199988493,0,48289.759474722734,48289.75947472274,1.5067288993211954e-16,1.5304483908280602,1.5304483908280602,583,0.3625910049670001,True,48289.7594747243
dag_S,0.75,37410.0,7,0.025890445999948497,0.11320814300006532,0,67360.85078909612,67360.85078909612,0.0,1.5260640841702535,1.5260640841702535,399,0.29670014347202295,True,67360.85078910363
dag_M,0.25,126338.0,7,1.6279600620000565,29.32889395999996,0,220680.69852618806,220680.6985261838,1.9254784288164455e-14,1.563332552079743,1.563332552079743,14198,0.2875546303062054,True,220680.69852619016
dag_M,0.5,252676.0,7,1.5232056150000517,21.331048638000084,0,418189.00649083866,418189.006490834,1.1135187201960694e-14,1.563332552079743,1.563332552079743,14198,0.6359146871079371,True,418189.0064908407
dag_M,0.75,379014.0,7,1.4754052189998674,15.333407898000132,0,615697.3144554893,615697.3144555,1.7395251459801668e-14,1.563332552079743,1.563332552079743,14198,0.9842747439096687,True,615697.3144554913
grid_XL,0.25,27785.75,8,0.4562753119998888,22.993783613999994,0,43749.222643097644,43749.222643097666,4.989316729264004e-16,1.3047138047138047,1.3047138047138047,108,0.06207912457912458,True,43749.222643146386
grid_XL,0.5,55571.5,6,0.42795816900002137,32.28385232200003,0,63843.92884334267,63843.92884334333,1.0370792570039754e-14,0.5184248995005482,0.5184248995005482,2986,0.38459312949202096,True,63843.9288434179
grid_XL,0.75,83357.25,9,0.45001399300008416,20.945736546000035,0,77771.31245876402,77771.31245876414,1.4968928535012249e-15,0.3991642841433912,0.3991642841433912,413,0.5230371673630966,True,77771.31245905801
