n,m,k,q,size_min,size_median,size_max,n_singletons,largest_share_of_Wq,lambda_1,lambda_q,p_Mq,w_Mq,n_maxflow,seconds,instance,check,dinkelbach_maxflow,dinkelbach_seconds,dinkelbach_same,size_pos_median,size_pos_max,n_items_Mq,top3_weight_share
1152,4704,47,22,1,5.0,686,9,0.24857375713121435,1.9333333333333333,0.06796116504854369,4215.0,3681.0,93,0.03499987400005011,grid_S,True,253,0.3212286839998342,True,10.5,83,335,0.47324096712849767
9000,69696,150,44,1,7.0,5399,17,0.24444855662472242,2.466313398940197,0.04100946372239748,14508.0,10808.0,299,0.37856416299996454,grid_M,True,1051,12.443776802999992,True,6.5,240,984,0.3881384159881569
14256,112360,132,36,1,10.0,7835,20,0.4581431129719777,1.783252587535785,0.003870967741935484,46904.0,39647.0,263,0.5153433530001621,grid_L,True,915,15.514095478999934,True,10.5,1650,3605,0.5396625217544833
2000,4014,303,268,1,1.0,583,214,0.29464715316760226,73.0,0.021739130434782608,82900.0,49880.0,605,0.1355175149999468,dag_S,True,2414,3.808560529000033,True,1.0,583,1958,0.6860064153969527
20000,59979,873,729,1,1.0,14198,618,0.7176482926752046,99.0,0.023809523809523808,800304.0,505352.0,1745,1.8791478549999283,dag_M,True,,,,1.0,14198,19803,0.9308956925074008
54000,443576,345,86,1,12.0,35247,9,0.2954392089470322,1.620888603974555,0.010421836228287842,84309.0,111143.0,689,3.113203741999996,grid_XL,True,,,,12.0,2986,10102,0.5188091017877869
