instance,n,m,method,status,seconds_first,seconds_per_extra,seconds_total,k,max_rel_gap_vs_reference,n_capacities,n_maxflow,q,seconds_build
O_1711_11661,1711,11661,path,ok,0.0356444389999524,1.1796899980254238e-05,0.035880376999557484,3,0.0,20,5,2,
O_1711_11661,1711,11661,newton,ok,0.03946842900040792,0.014936413368463707,0.32326028300121834,,0.0,20,60,,
O_1711_11661,1711,11661,highs:dual-simplex,ok,0.2740154920011264,0.006873287842226043,0.4046079610034212,,3.972207471907492e-15,20,,,0.003813122000792646
O_1711_11661,1711,11661,highs:ipm,ok,0.26411396199910087,0.20132626247351781,4.089312948995939,,4.369428219098241e-15,20,,,0.004983945000276435
O_1711_11661,1711,11661,gurobi:dual-simplex,ok,0.22082107399910456,0.004815796578776299,0.31232120899585425,,4.501835134828491e-15,20,,,0.011399610999433207
O_1711_11661,1711,11661,gurobi:barrier,ok,0.1273066870016919,0.13294080847318632,2.6531820479922317,,4.6342420505587405e-15,20,,,0.009149462001005304
O_1711_11661,1711,11661,cplex-cli:dual-simplex,ok,0.09431931099970825,0.003015673263067392,0.1516171029979887,,4.005861999713229e-11,20,,,0.018381370999122737
W_11757_83218,11757,83218,path,ok,0.3641639440011204,2.5070349965972128e-05,0.36466535100043984,78,0.0,20,155,50,
W_11757_83218,11757,83218,newton,ok,0.16723120899951027,0.14887433347327092,2.995843544991658,,0.0,20,135,,
W_11757_83218,11757,83218,highs:dual-simplex,ok,5.921787054998276,0.4963261812631811,15.351984498998718,,3.10216298061316e-14,20,,,0.025533989999530604
W_11757_83218,11757,83218,highs:ipm,ok,2.891499653998835,2.647043170263044,53.18531988899667,,2.896407272715348e-14,20,,,0.02470302899928356
W_11757_83218,11757,83218,gurobi:dual-simplex,ok,4.662576676999379,0.3168428353157268,10.682590547998188,,3.10216298061316e-14,20,,,0.07672075499976927
W_11757_83218,11757,83218,gurobi:barrier,ok,1.8939159069996094,1.7420018274736464,34.99195062899889,,3.1179903427591456e-14,20,,,0.08384138099972915
W_11757_83218,11757,83218,cplex-cli:dual-simplex,ok,4.152820473000247,0.36664306900016336,11.11903878400335,,4.6393485195138456e-11,20,,,0.11457924999922398
